Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1979-02,964158.7,241455.2,135503.8,,,105951.5,,,722703.4,221315.4,213747.5,,,,,,,,,166866,,,,,120774.5,,,,135267.8,,3630.8,49597.4,1193795.6,965903.2,,,112380.2,,38003.8,1106518.6,87276.9
1979-03,973002,244472.4,137822.6,,,106649.8,,,728529.6,224704.4,215525,,,,,,,,,168056.1,,,,,120244.1,,,,127435.5,,3377.8,50392.9,1198198.1,961336.5,,,115978.4,,39694.4,1108375.6,89822.5
1979-04,987536.6,247003.7,139987.4,,,107016.3,,,740533,230395.6,217821.1,,,,,,,,,170618.2,,,,,121698,,,,134156.1,,3534.2,58533.7,1230652.4,977272.1,,,120396.4,,51285.8,1143456.8,87195.6
1979-05,995027.3,245425.2,137791,,,107634.2,,,749602.1,234128.1,220186.9,,,,,,,,,173451.6,,,,,121835.6,,,,134374,,3247.6,57819.5,1232406.4,966534.4,,,124093.6,,51635.4,1139114,93292.4
1979-06,1008355,246977,139663.1,,,107313.9,,,761378,237319.8,223402,,,,,,,,,176091.9,,,,,124564.2,,,,136776.3,,3581.3,59353.6,1255560,977097.5,,,131783.9,,53340.5,1158917.7,96642.4
1979-07,1018587.1,246470.4,138581.4,,,107888.9,,,772116.7,239935.8,227239.3,,,,,,,,,177526.6,,,,,127415.1,,,,140981.7,,3637.1,60865.7,1271504.8,988476.7,,,136313.1,,52263,1173762.7,97742.1
1979-08,1027410.3,247053.1,137961,,,109092.2,,,780357.2,241346.7,230141,,,,,,,,,180145.6,,,,,128723.8,,,,134550.4,,3594.5,62343.1,1278069.9,987200.8,,,138506.1,,53681.7,1176877.2,101192.8
1979-09,1042138.2,250235.2,140457.5,,,109777.7,,,791903.1,245463.5,233469.7,,,,,,,,,182782.3,,,,,130187.5,,,,145644.6,,3703.3,65038.6,1312594.9,1012145.8,,,142895.8,,55540.6,1208418.5,104176.4
1979-10,1049267.6,250804.5,140474.2,,,110330.4,,,798463.1,247278.7,236667.1,,,,,,,,,184045.1,,,,,130472.2,,,,152298.3,,3829.7,67270.2,1324545.5,1022919.4,,,140538.2,,57677.5,1219471.3,105074.2
1979-11,1052641.2,252289,141190.4,,,111098.6,,,800352.2,247579.2,238900.7,,,,,,,,,184595.2,,,,,129277.2,,,,151829.8,,3846.2,68954.3,1327390.1,1030068.6,,,133510.5,,58288.2,1220213.3,107176.8
